,title,content
0, بهترین درسهای زندگی‎, تی دی جیکس یک کشیش، نویسنده، سخنران آمریکایی است. سمینار های تی دی جیکس اغلب انگیزشی و مذهبی است به همین دلیل او در ایران به سخنران انگیزشی سیاه پوست لقب گرفته است. در زندگینامه تی دی جیکس شاهد فعالیت‌های مختلفی هستیم که هر کدام از آنها، خواهان تجربه و تلاش زیادی هستند. مواردی که اعلام شد تنها بخشی از فعالیت‌های جیکس است. او هم اکنون کشیش خانه پاتر است و مخاطبان بسیاری دارد. موعظه‌های  و سخنرانی‌ها تی دی جیکس در کلیسا از شبکه‌های تلویزیونی و رادیویی مختلف پخش می‌شوند. این کتاب گزیده ای از سخنرانی های آقای جیکز ، یکی از بهترین سخنران های انگیزشی در دنیا است. امید است با مطالعه دقیق و باور عمیق تغییری مثبت در زندگیتان ایجاد شود
1, از سلاجقه تا صفویه, کتاب حاضر که اینک در دسترس خوانندگان محترم قرار می گیرد، مشتمل است بر تاریخ اوضاع سیاسی و اجتماعی و صنعتی و ادبی پنج قرن اخیر ایران یعنی از زمان تاسیس سلسله سلاجقه تا آغاز دوره صفویه. در این پنج قرن کشور ایران دچار یک رشته انقلابات داخلی و تهاجمات شده که هر چند نتیجه ظاهری آن هرج و مرج و کشت و کشتار فراوان بود، ولی موجب تحولات اجتماعی عمیق نیز گردیده است. ظهور سلاجقه در تاریخ ایران به منزله یکی از نهضت های عظیم سیاسی به شمار می رود. در زمان همین سلسله است که وحدت ملی و حاکمیت اداری در کشور برقرار گردید؛ زیرا بنا به شرحی که در پایان فصل سلاجقه ثبت شده است برای مدت مدیدی به حکومت ملوک الطوایفی و طغیان و عطیان گردنکشان که در گوشه و کنار مملکت هر روز علم استقلال برافراشته و یا داعیه سلطنت و امارت داشتند، پایان داده شد. در چنین دوران تاریخی است که شهریاران سلجوقی نیز توانستند برخلاف فرمانروایان آل بویه و سلاطین غزنوی، حوزه متصرفات خود را از شر مداخلات نابجای خلفای بغداد هم رهایی دهند…
2, سرگذشت رضاشاه," دکتر فتح الله بینا تحصیلات خود را در رشته پزشکی دنبال کرده اما به گفته خود در مقدمه همین کتاب «نگارنده پس از دانش پزشکی دوستدار تاریخ و ادبیاتم؛ هنگام فراغت را به گلچینی گلزار بی پایان ادب و فراگرفتن پندهای بی پایان تاریخ می گذرانم… نگارنده تاریخ را به دیده پزشکی و روانشناسی نگریسته، به فلسفه آن و پی بردن به عللی که منجر به حوادث مهم تاریخی گشته اند و نتایجی که از بررسی آن حاصل می شود بیش از شرح وقایع علاقمندم…»,با همین دیدگاه است که در کتاب حاضر به تحلیل شخصیت رضا شاه و اقدامات او می پردازد؛ مقایسه ای نیز میان تاریخ تحولات سیاسی اجتماعی ایران و فرانسه انجام می دهد و داستان به تخت نشستن و افول اقبال دو نظامی- سیاستمدار مقتدر (ناپلئون بناپارت و رضا پهلوی) را با دیدگاه و سبک خاص خود روایت می کند."
3, سیری نوین در فرگشت و اسرار مغز, مجموعه پیش رو مطالبیست که در گروه Evolution توسط اینجانب بر گرفته از کتب انگلیسی ٢٠١۵ تا ٢٠١٧ ، مقالات ، میکس و نگارشی دوباره ارائه گردیده است. همه مطالب خط به خط رفرنس معتبر دارد ولی بدلیل اینکه این مجموعه فقط برای دسترسی آسان مخاطبان این گروه به موضوعات مختلف تهیه و تنظیم شده و کتاب نیست از ذکر منابع خودداری گردیده است ضمناً فصلها براساس مطالب ارائه شده تنظیم گردیده اند.
4, آسمان پرستاره, کتاب آسمان پرستاره نوشته‌ی کتی هایدن، به زبانی ساده برای کودکان و نوجوانان نگاشته شده و برای آموزش مفاهیم مربوط به ستارگان، صورت‌های فلکی، کهکشان‌ها و اسرار و افسانه‌های باستان درباره آسمان و ستارگان می‌تواند مورد استفاده قرار گیرد. این کتاب برای علاقمندان به موضوعات نجوم و ستاره شناسی نیز سودمند است. تصاویر زیبا و جذاب این کتاب به فهم بهتر مطالب کمک می‌کند.
5, تاریخ مبارک غازانی," تاریخ مبارک غازانى، اثر فارسی رشیدالدین فضل‌الله بن عمادالدوله ابواخیر، هسته اصلى «جامع التواریخ» بوده و در بردارنده تاریخ ایلخانان در ایران، از هولاکو تا غازان خان مى‌باشد. ظاهراً کتاب به فرمان غازان و با دریافت مبلغ یک میلیون دینار و در زمان او نوشته شده است. مؤلف به خوبى توانسته وضع مردم، مشکلات زندگى آنان، طرز معیشت، اوضاع مذهبى و طرز سلوک عمّال دولت با کارگزاران را منعکس کند که این باعث اهمیت کتاب شده است. کتاب با مقدمه مؤلف، در اشاره به تقسیمات آن آغاز و مطالب در سه قسمت ارائه شده است.,سبک نگارش کتاب بر خلاف تاریخ جهانگشاى جوینى و تاریخ وصاف، بسیار ساده و روان بوده و نوشته‌هاى مغولىِ آن به زبان فارسی محاوره‌اى روزگار مؤلف ترجمه شده است که سبکى نو محسوب مى‌شود. نویسنده در دوره غازان، بانى اصلاحات ایلخان زمان خود بوده و در اصل مى‌توان کتاب را راهنماى وى براى غازان خان در راستاى انجام این اصلاحات دانست. وى روابط نزدیکى با غازان خان داشته و مورد اعتماد وى بوده است. او سعى کرد در قالب شخصیت غازان خان، حاکم و پادشاه ایده‌آل خود را ترسیم کند. کتاب، منبع اصلى در مطالعه تاریخ عصر ایلخانان و شامل مجموعه «یرلیق‌هاى غازان» یا فرامین وى در مورد اصلاحات مالى مى‌باشد. با این که مؤلف خود از کارگزاران ایلخانان مغول بوده و ناچار در اثر خود از آنان با احترام یاد کرده است؛ ولى گزارش کشتارها، ویرانگرى‌ها و غارت‌هاى آنان را به تفصیل بیان و تأسف خود را از این وقایع ابراز کرده است. مؤلف در جاى جاى مباحث، اطلاعات فشرده‌اى از تاریخ معاصر خود را نیز ذکر کرده که از ویژگى‌هاى کتاب به شمار مى‌آید."
6, وبلاگ نویسی شیرین با وردپرس, کتاب وبلاگ نویسی شیرین با WordPress به آموزش یک سکوی انتشار مبتنی بر وب یا به بیان ساده‌تر یک نرم‌افزار تحت وب می‌پردازد. عمومی‌ترین استفاده از وردپرس برای راه اندازی یک وبلاگ می‌باشد، زیرا وردپرس دارای هسته‌ای قدرتمند است و پیشروترین نرم‌افزار در این زمینه به شمار می‌رود. وردپرس با زبان برنامه نویسی محبوب و قدرتمند PHP نوشته شده و از قدرت MySQL استفاده می‌کند. وردپرس یک نرم افزار متن باز (Open Source) است و بر مبنای اجازه نامه GPL منتشر می‌شود بنابراین اجازه‌نامه تمامی موارد استفاده از وردپرس کاملاً رایگان می‌باشد، همچنین شما می‌توانید وردپرس را با خیال راحت تغییر دهید و به عنوان سکویی برای پروژه‌های خود به کار گیرید.
7, نقش روابط جنسی و راز کامیابی در زندگی, استاد من پروفسور ویلسون که اینک در بیماریهای زنان و هورمون شناسی زنانه امریکا معروفیت جهانی دارد روزی سر کلاس تعریف میکرد:” وقتی که توانستم موفقیت کافی بدست آوردم تا خیابان پارک ( محل زندگی میلیوترها و اعیان نیویورک) طبابت نمایم، تدبیری اندیشیدم و برروی پرونده بعضس از بیمارانم یک علامت ستاره قرمز گذاشتم. جای تاسف است که کلیه اطبا برای خود گذاشتن چنین علامتی را برروی پرونده بعضی از بیماران خود معمول نکرده اند.
8,معرفی کتاب الکترونیکی," چیست؟ از آغاز تاریخ بشریت تاکنون شکل کتاب ها در حال تغییر است، از روزی که نوشتن بر لوح های گلین آغاز شد تا به امروز چاپ و نشر کتاب به شیوه های مختلف اتفاق افتاده است. در سال های اخیر و پیشرفت تکنولوژی وسایل دیجیتال و الکترونیک نقش پررنگی در زندگی افراد ایفا می کند.,در حال حاضر استفاده از کامپیوترها، گوشی های دیجیتال و تبلت فراگیر شده است. با توجه به این پیشرفت شاهد تولد , یا , ها هستیم. این مدل از کتاب، اولین ویژگی که دارد به راحتی در دسترس افراد قرار می گیرد طرز اسنتفاده از آن آسان بوده و می شود در هرمکانی از آن استفاده کرد.,کتاب الکترونیک قابلیت نمایش در صفحه ی رایانه، گوشی همراه، تبلت و کتابخوان های الکترونیکی را دارد. این کتاب ها صرفا نسخه ی مکتوب یک کتاب را نمایش نمی دهند بلکه شامل تصویر و صوت نیز هستند. , ها را به عنوان یک پدیده ی تازه در صنعت نشر و چاپ کتاب می دانند که سعی دارد نظام آموزشی و فرهنگ مطالعه را دچار تغییر و تحولی اساسی کند.,این کتاب ها را می شود در قالب های مختلف نظیر Word Text ها که بوسیله ی کامپیوتر اجرا می شوند یا PDF،HTML و قالب های دیگر اجرایی نظیر EXE در آید. کتاب الکترونیکی به سادگی قابل اجرا بوده و از امکانات جستجو در متن، قالب های زیبا، انسجام در مطالب، قابلیت اضافه کردن مالتی مدیا و عرضه یا فروش بسیار ساده در دسترس کاربران قرار می گیرند. این رسانه در دنیا بسیار حائز اهمیت است نمایشگاه کتاب فرانکفورت برای اشاعه ی فرهنگ مطالعه ی دیجیتال سالانه ۷ جایزه ی ۱۰۰ دلاری به این نوع کتاب اختصاص داده است., "
9, فرهنگ ریشه واژگان فارسی," ساختار کتاب چنین است که بر سر هر رویه درآیه‌ی پوروا-هندواروپایی (Proto-Indo-European) آمده و سپس به گونه‌ی نمودار، واژه‌های مشتق شده از آن ریشه در زبان‌های ایرانی و اروپایی آمده است.,بر پایه‌ی خود کتاب، در سراسر فرهنگ، بیش از ٩۴٠٠ واژه‌ی همخانواده (cognate) در ۵٠ زبان در این فرهنگ شناسانده شده‌اند. افزون بر زبان‌های هندواروپایی، برخی واژه‌هایی از ریشه‌ی زبان‌های نا-هندواروپایی (مانند زبان عربی و عبری و ترکی) هم دیده می‌شوند. آمار واژه‌ها و زبان‌های آنها چنین است:,– واژه‌های پارسی: ۴٧٠٠,– واژه‌های زبان‌های ایرانی دیگر (اوستایی، سغدی، و …): ۴٣٠٠,– ریشه‌های هندواروپایی: ١۴٠٠,– واژه‌های انگلیسی: ٣٣٠٠,– واژه‌های یونانی و لاتین: ١۵٠٠,– واژه‌های عربی و عبری و دیگر زبان‌های سامی: ٨٠٠,– واژه‌های فرانسه، آلمانی، ایتالیایی، اسپانیایی: ۴٠٠,– واژه‌های سانسکریت و هندی: ۴٠٠,– دیگر زبان‌ها: ٧٠٠,برای نگارش این فرهنگ، نویسنده نزدیک ١٢ سال پژوهش کرده و از ١١٢ خاستگاه (کتاب و مقاله و فرهنگ) بهره برده است.,کتاب «فرهنگ ریشه واژگان فارسی» تالیف و تدوین علی نورایی، پژوهشگر در حوزه زبان‌شناسی از سوی یک ناشر آمریکایی در ایالات متحده آمریکا چاپ و عرضه شده است."
